,rank,year,movie,wwbox_office,dombox_office,internationalbox_office,url,genre,production_companies,inflation_rank,infl_gross_box_office,actors,directors,main,number_of_stars,director_main,number_of_directors,production_companies_main,number_of_production_companies
781,782,2012,Total Recall,211856088.0,58877969.0,152978119.0,/movie/Total-Recall-(Remake),Action,"['Sony-Pictures', 'Original-Film']",,,"['Colin Farrell', 'Kate Beckinsale', 'Jessica Biel']",['Len Wiseman'],Colin Farrell,3,Len Wiseman,1,Sony-Pictures,2
782,783,2010,Due Date,211739043.0,100539043.0,111200000.0,/movie/Due-Date,Comedy,"['Legendary-Pictures', 'Green-Hat-Films']",,,"['Robert Downey, Jr.', 'Zach Galifianakis']",['Todd Phillips'],"Robert Downey, Jr.",2,Todd Phillips,1,Legendary-Pictures,2
783,784,1999,Entrapment,211700000.0,87707396.0,123992604.0,/movie/Entrapment,Thriller-or-Suspense,"['Regency-Enterprises', '20th-Century-Fox', 'Fountainbridge-Films']",732,158149553.0,[],[],,0,,0,Regency-Enterprises,3
784,785,2011,Immortals,211562435.0,83504017.0,128058418.0,/movie/Immortals,Action,"['Relativity-Media', 'Rogue-Pictures']",,,"['Henry Cavill', 'Mickey Rourke', 'Luke Evans']",['Tarsem Singh'],Henry Cavill,3,Tarsem Singh,1,Relativity-Media,2
785,786,2014,Fury,210315681.0,85817906.0,124497775.0,/movie/Fury-(2014),Drama,"['QED-International', 'Le-Grisbi', 'Crave-Films']",,,"['Brad Pitt', 'Shia LaBeouf', 'Logan Lerman']",['David Ayer'],Brad Pitt,3,David Ayer,1,QED-International,3
786,787,1979,Moonraker,210300000.0,70300000.0,140000000.0,/movie/Moonraker,Action,"['United-Artists', 'Eon-Productions']",314,256552987.0,[],[],,0,,0,United-Artists,2
787,788,2014,The Expendables 3,209461378.0,39322544.0,170138834.0,/movie/Expendables-3-The,Action,"['Nu-Image', 'Millennium-Films']",,,"['Sylvester Stallone', 'Jason Statham', 'Antonio Banderas']",['Patrick Hughes'],Sylvester Stallone,3,Patrick Hughes,1,Nu-Image,2
788,789,2018,Hou Lai De Wo Men,209221328.0,,209221328.0,/movie/Hou-Lai-De-Wo-Men-(China),Romantic-Comedy,['Nan'],,,[],[],,0,,0,Nan,1
789,790,1995,Braveheart,209045244.0,75545647.0,133499597.0,/movie/Braveheart,Drama,['Nan'],726,158795681.0,['Mel Gibson'],['Mel Gibson'],Mel Gibson,1,Mel Gibson,1,Nan,1
790,791,1978,Jaws 2,208900376.0,102922376.0,105978000.0,/movie/Jaws-2,Horror,"['Zanuck-Company', 'David-Brown', 'Universal-Pictures']",101,402892716.0,[],[],,0,,0,Zanuck-Company,3
791,792,2004,The Aviator,208370892.0,102608827.0,105762065.0,/movie/Aviator-The-(2004),Drama,"['Forward-Pass', 'Initial-Entertainment-Group']",802,148081394.0,[],[],,0,,0,Forward-Pass,2
792,793,2000,Traffic,208300000.0,124107476.0,84192524.0,/movie/Traffic,Drama,['Nan'],481,200882501.0,[],[],,0,,0,Nan,1
793,794,2016,Me Before You,208265198.0,56245075.0,152020123.0,/movie/Me-Before-You,Drama,"['New-Line-Cinema', 'Metro-Goldwyn-Mayer-Pictures', 'Sunswept-Entertainment']",,,"['Emilia Clarke', 'Sam Claflin']",['Thea Sharrock'],Emilia Clarke,2,Thea Sharrock,1,New-Line-Cinema,3
794,795,2004,Garfield: The Movie,208094550.0,75367693.0,132726857.0,/movie/Garfield-The-Movie,Adventure,"['Davis-Entertainment', 'Twentieth-Century-Fox']",,,"['Breckin Meyer', 'Jennifer Love Hewitt', 'Bill Murray']",['Peter Hewitt'],Breckin Meyer,3,Peter Hewitt,1,Davis-Entertainment,2
795,796,2013,Xi you xiang mo pian,207927982.0,18058.0,207909924.0,/movie/Xi-you-xiang-mo-pian,Adventure,"['Village-Roadshow-Asia', 'Chinavision-Media-Group', 'Bingo-Movie-Development', 'Edko-Films', 'Wanda-Media']",,,"['Shu Qi', 'Wen Zhang', 'Huang Bo']",['Stephen Chow'],Shu Qi,3,Stephen Chow,1,Village-Roadshow-Asia,5
796,797,2012,Safe House,207884401.0,126181630.0,81702771.0,/movie/Safe-House,Thriller-or-Suspense,"['Universal-Pictures', 'Relativity-Media', 'Bluegrass-Films']",828,145203981.0,"['Denzel Washington', 'Ryan Reynolds']",['Daniel Espinosa'],Denzel Washington,2,Daniel Espinosa,1,Universal-Pictures,3
797,798,2001,The Others,207765056.0,96522687.0,111242369.0,/movie/Others-The-(2001),Horror,"['Tom-Cruise-Productions', 'Wagner-Productions', 'Sogecine', 'Las-Producciones-Del-Escorpion']",744,156209858.0,[],[],,0,,0,Tom-Cruise-Productions,4
798,799,1994,Clear and Present Danger,207500000.0,122012656.0,85487344.0,/movie/Clear-and-Present-Danger,Action,"['Mace-Neufeld', 'Robert-Rehme']",272,273919962.0,[],[],,0,,0,Mace-Neufeld,2
799,800,2016,Bridget Jonesâs Baby,207298383.0,24139805.0,183158578.0,/movie/Bridget-Joness-Baby,Romantic-Comedy,"['Perfect-World-Pictures', 'Universal-Pictures', 'Miramax-Films', 'StudioCanal', 'Working-Title-Films']",,,"['RenÃ©e Zellweger', 'Colin Firth', 'Patrick Dempsey']",['Sharon Maguire'],RenÃ©e Zellweger,3,Sharon Maguire,1,Perfect-World-Pictures,5
800,801,2003,S.W.A.T.,207154748.0,116877597.0,90277151.0,/movie/S-W-A-T,Action,['Columbia-Pictures'],600,177545404.0,[],[],,0,,0,Columbia-Pictures,1
801,802,1999,Sleepy Hollow,207068340.0,101068340.0,106000000.0,/movie/Sleepy-Hollow-(1999),Horror,"['Paramount-Pictures', 'Mandalay-Vision', 'Scott-Rudin-Productions', 'American-Zoetrope']",575,181387969.0,"['Johnny Depp', 'Christina Ricci']",['Tim Burton'],Johnny Depp,2,Tim Burton,1,Paramount-Pictures,4
802,803,2011,Paranormal Activity 3,207039844.0,104028807.0,103011037.0,/movie/Paranormal-Activity-3,Horror,"['Paramount-Pictures', 'Blumhouse', 'Solana-Films', 'Room-101']",,,"['Chloe Cserngey', 'Jessica Brown<sup>*</sup>']","['Henry Joost', 'Ariel Schulman']",Chloe Cserngey,2,Henry Joost,2,Paramount-Pictures,4
803,804,2015,Tomorrowland,206627518.0,93436322.0,113191196.0,/movie/Tomorrowland,Adventure,['A113'],,,['George Clooney'],['Brad Bird'],George Clooney,1,Brad Bird,1,A113,1
804,805,2010,Eat Pray Love,206598789.0,80574010.0,126024779.0,/movie/Eat-Pray-Love,Drama,"['Plan-B-Entertainment', 'Columbia-Pictures']",,,['Julia Roberts'],['Ryan Murphy'],Julia Roberts,1,Ryan Murphy,1,Plan-B-Entertainment,2
805,806,2001,The Fast and the Furious,206458372.0,144512310.0,61946062.0,/movie/Fast-and-the-Furious-The,Action,"['Universal-Pictures', 'Mediastream-Film', 'Neal-H-Moritz']",361,233875044.0,"['Paul Walker', 'Vin Diesel', 'Michelle Rodriguez']",['Rob Cohen'],Paul Walker,3,Rob Cohen,1,Universal-Pictures,3
806,807,2002,Red Dragon,206455420.0,92955420.0,113500000.0,/movie/Red-Dragon,Thriller-or-Suspense,"['Universal-Pictures', 'Imagine-Entertainment']",814,146552773.0,[],[],,0,,0,Universal-Pictures,2
807,808,2006,The Break-Up,205727307.0,118703275.0,87024032.0,/movie/Break-Up-The,Romantic-Comedy,['Wild-West-Picture-Show'],680,166003355.0,[],[],,0,,0,Wild-West-Picture-Show,1
